Latitude,Longitude,Tipo,Nome
-12.9927087,-38.4614499,recycling,Soma Vantagens
-12.9905270,-38.4581604,veterinary,Villa Lata
-12.9941181,-38.4539957,fast_food,Acarajé Dária & Laura
-12.9954005,-38.4710859,fast_food,Oakberry Açaí bowls
-12.9957449,-38.4704349,pharmacy,The Pharmacy
-13.0030392,-38.4578537,cafe,Coffeetown
-13.0029091,-38.4578423,restaurant,Pepo Restaurante
-13.0029686,-38.4578138,bar,La Bottega
-13.0023256,-38.4557137,ice_cream,Frio Gostoso
-13.0030179,-38.4580190,post_office,DHL
-13.0008778,-38.4600645,fast_food,Yankee
-12.9890483,-38.4601064,pub,Bar do Jorge
-12.9902405,-38.4568747,fast_food,Joks
-12.9961745,-38.4650100,restaurant,Nonni la Pasta Espressa
-12.9952311,-38.4714740,cafe,Boutique das Tortas
-12.9961625,-38.4639624,pharmacy,Pague Menos
-12.9936272,-38.4604752,fast_food,Pizzette
-12.9905812,-38.4574378,language_school,CNA
-12.9922972,-38.4605196,fast_food,La Empa
-12.9924826,-38.4552632,bar,Obá
-12.9926911,-38.4552734,prep_school,Kumon
-12.9925690,-38.4552619,bar,Marreco
-12.9867773,-38.4517975,restaurant,aSè Gastrobar
-12.9879972,-38.4505952,clinic,IORB
-13.0049407,-38.4540828,atm,Banco24Horas
-13.0033267,-38.4516860,bar,Espetto Baiano Prime
-12.9923751,-38.4542349,restaurant,Riz Bistrot
-12.9941441,-38.4596733,cafe,The Coffee
-13.0054397,-38.4599221,fast_food,Burger King
-13.0006886,-38.4603247,fast_food,Pizza Creek
-13.0010883,-38.4597226,fast_food,La Gringa
-13.0040041,-38.4534790,post_office,Jadlog
-12.9964025,-38.4635139,fast_food,Empada Gourmet
-12.9979930,-38.4599712,school,Escola Pequeno Liceu
-12.9994607,-38.4576652,dentist,Guimarães Lima Infinity
-12.9997417,-38.4576654,clinic,Vila de Gaia Terapias
-12.9956096,-38.4711272,cafe,Fresh Slow Food
-12.9896594,-38.4602911,clinic,Instituto Procardíaco
-12.9920528,-38.4611085,cafe,Do Coado ao Expresso
-12.9953087,-38.4671905,clinic,Centro de Diagnóstico por Imagem
-13.0039892,-38.4577962,cafe,Chocolate Lugano
-12.9901786,-38.4570981,ice_cream,Gelato Borelli
-12.9903815,-38.4524085,restaurant,Tangerina
-12.9929708,-38.4609928,fast_food,Beiju Mix
-13.0040025,-38.4597028,atm,Banco24Horas
-12.9954072,-38.4713770,cafe,Villa Cafeeiro
-13.0042591,-38.4608537,fast_food,Açaí Vilarejo
-12.9931583,-38.4609110,ice_cream,Capelinha
-12.9919066,-38.4552585,restaurant,Regalo Pizzaria
-12.9988121,-38.4610523,bank,Sicoob
-12.9961699,-38.4655037,pharmacy,Farmafórmula
-12.9960695,-38.4653709,restaurant,Fazendinha Grill
-13.0020759,-38.4619168,bar,Libertar Bier
-12.9905572,-38.4580847,fast_food,Pasta Way
-12.9937039,-38.4583309,cafe,Kofi Cafeteria
-13.0079850,-38.4636966,car_rental,Movida
-13.0054005,-38.4594506,veterinary,DOGatto
-12.9905879,-38.4579773,cafe,Odália
-12.9956556,-38.4691687,ice_cream,A Cubana
-12.9905936,-38.4610856,language_school,Minds
-12.9886739,-38.4710649,bar,DiFoca
-12.9955009,-38.4691249,clinic,Heal Institute
-12.9956912,-38.4703791,bank,Sicredi
-12.9907349,-38.4593180,clinic,Bio Salute
-12.9908163,-38.4610777,restaurant,Patroni
-12.9949833,-38.4713938,restaurant,La Pulperia
-13.0035875,-38.4578922,cafe,Ópera Café
-12.9904670,-38.4588287,bar,Botecaria
-13.0013218,-38.4507879,bar,Boteco do Caranguejo
-13.0039620,-38.4533739,fast_food,Pãozinho Delícia Baiano
-12.9959867,-38.4659014,language_school,Wizard
-13.0075391,-38.4611730,restaurant,Kion
-12.9901654,-38.4576792,bar,Seu Zelito Boteco dos Botecos
-12.9936223,-38.4556124,restaurant,Lar Café Bistrô
-12.9927921,-38.4530396,dojo,Alliance
-12.9942109,-38.4527567,restaurant,Nova Belles
-12.9923837,-38.4541896,restaurant,Alecrim
-12.9909645,-38.4533348,school,Escola Reino Encantado
-12.9908724,-38.4533524,events_venue,Super Fantástico
-12.9935749,-38.4550111,cafe,Viver Natura
-12.9929358,-38.4534125,language_school,inFlux
-12.9943996,-38.4533169,veterinary,Diagnose Animal
-12.9945044,-38.4530749,veterinary,Pet Doctor
-12.9991971,-38.4548989,pharmacy,Royal Farmácia de Manipulação
-12.9941200,-38.4595195,veterinary,Kennel Veterinária
-12.9932947,-38.4548005,restaurant,Dendê
-12.9916129,-38.4597620,bar,Tatu Bola
-12.9936275,-38.4604137,restaurant,O Chefão do Pirão
-12.9959231,-38.4528374,fast_food,Ital'in House
-12.9959718,-38.4528590,language_school,Mr. English
-12.9901610,-38.4534487,restaurant,Poke Boss
-12.9901677,-38.4577874,clinic,Multiclin
-12.9997581,-38.4596337,bicycle_rental,BRT Pituba
-13.0039161,-38.4590620,bicycle_rental,Praça Belo Horizonte
-13.0074441,-38.4602551,restaurant,Oriental Prime
-12.9898562,-38.4576143,ice_cream,tigelato
-12.9962217,-38.4638650,restaurant,Terraço Natura
-12.9956406,-38.4687655,cafe,D'Gregório do Café Ao Vinho
-12.9901682,-38.4608089,ice_cream,Sorvete Berry's
-12.9940450,-38.4582832,hospital,Hospital Fundação Baiana de Cardiologia
-12.9990873,-38.4599877,bar,Purgatório
-12.9940836,-38.4588564,cafe,Sêmola Café & Brunch
-12.9917745,-38.4604099,restaurant,Família Frantz Wine House
-13.0012616,-38.4570722,restaurant,Fabbrica di Pizza
-13.0079133,-38.4672828,place_of_worship,Igreja Adventista
-13.0081182,-38.4625113,cafe,Go Coffee
-13.0082117,-38.4628253,ice_cream,Capelinha
-13.0072261,-38.4620385,bicycle_rental,Pituba Manoel Dias
-13.0061736,-38.4609833,bank,Sicoob
-13.0032297,-38.4515852,bar,Jurerê Bar
-13.0026089,-38.4557083,music_school,School of Rock
-13.0069567,-38.4615915,bank,Agibank
-12.9915844,-38.4604411,restaurant,Kadan Sushi Bar
-12.9986530,-38.4654573,doctors,Alclin Hospital de Olhos
-12.9985935,-38.4654559,cafe,Memorial Café
-12.9979313,-38.4642249,cafe,Bistrô 55
-12.9954255,-38.4646872,bank,Caixa Econômica Federal
-13.0000929,-38.4547333,fast_food,Larica Lanche
-13.0003908,-38.4547475,bank,Br[P2P]Cripto LOJA BITCOIN
-12.9951605,-38.4712154,cafe,Sucré Doceria
-12.9952642,-38.4711532,restaurant,Poke Boss
-12.9997741,-38.4608182,clinic,Clínica CAM - Itaigara
-12.9940794,-38.4545872,fuel,BR
-12.9972859,-38.4652951,doctors,Prover - Clínica de Oftamologia e Cirurgia Especializada
-12.9961613,-38.4637964,pharmacy,Farmácias Ultra Popular
-12.9986624,-38.4653780,clinic,Image diagnóstico por imagem
-12.9873540,-38.4679677,car_rental,SW Rentacar
-12.9935373,-38.4526509,cafe,Confeitaria Le Lapin
-12.9900581,-38.4594666,clinic,Novaimuno
-12.9958316,-38.4669783,pharmacy,Farmácias Multmais
-13.0011753,-38.4563786,cafe,Confeitaria Thiago Sá
-13.0021548,-38.4534665,bank,Sicoob
-13.0049552,-38.4544248,veterinary,HPet
-13.0005641,-38.4569441,studio,R5 Produtora
-12.9908842,-38.4553265,dojo,GFTeam Jiu Jitsu
-12.9953320,-38.4646825,fast_food,Melt Burger
-12.9970166,-38.4546501,fast_food,Acarajé da Meire
-12.9976087,-38.4516770,restaurant,Taióba
-12.9902840,-38.4592944,clinic,Rio Concept
-13.0053938,-38.4558670,pub,Bar do Nei / Point do Bode
-12.9880183,-38.4671791,bicycle_rental,Av Paulo VI
-12.9979574,-38.4637448,clinic,Alergo Atendimentos Clínicos
-12.9972671,-38.4651972,clinic,Alergo Dermo Clin
-12.9979667,-38.4634819,cafe,Gran Café
-12.9980212,-38.4636615,cafe,Otni Café
-12.9978740,-38.4636064,pharmacy,Farma Vida
-12.9980717,-38.4634077,doctors,Planner
-12.9955991,-38.4675328,doctors,Qualimagem
-12.9956069,-38.4671857,clinic,Nutricare
